TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAgeCat,Target
-1.1119223584377067,1,36,0,1.426636018199671,0,-0.541567604370515,0.0,0.00291798597649643,2,1
0.5469264129375501,1,15,0,1.3138893985824933,0,0.3085015223045684,0.0,2.2165305377634645,2,0
-0.5979838463617607,1,23,2,-1.4484027820383598,3,-0.8957630738184662,0.0,-1.0185126379462432,0,1
-0.331349614740185,1,33,2,-1.053789613378238,3,-1.334965455933926,0.0,0.887894514553269,0,1
-0.7543640674158855,1,28,0,-1.5047760918469486,3,0.7477039044200281,0.0,-1.1057264175404542,0,1
-1.1440320640495818,0,39,0,-0.4336832054837608,0,0.2801658847487323,0.0,2.103324404741595,1,1
-0.3912633022442258,0,16,1,1.2575160887739045,2,2.433674338992277,0.0,-0.5899856953773223,2,0
-0.6898698227632177,0,11,1,0.35554313183648295,1,-0.4707285104809246,0.0,1.0225744839339677,1,0
2.5610890023318005,1,26,0,0.5810363710708383,0,0.010977327968289194,0.0,-1.0442336243431387,1,1
-1.0950201025592734,0,0,2,0.41191644164507174,1,-0.8532596174847121,0.0,0.6396858437933797,1,0
-0.306064939279764,1,22,2,-1.3356561624211822,3,0.761871723197946,0.0,-0.9144561819804606,0,1
1.0887147124771477,0,23,1,-1.1665362329954156,3,-0.1165330410329733,0.0,-0.8911058170032451,0,1
2.4044339478487577,1,22,0,-1.053789613378238,3,0.05348078430204335,0.0,-1.2572797840886598,0,1
-0.41155517041264317,1,21,2,-1.5047760918469486,3,0.20932679085914196,0.0,-1.2290576128893587,0,0
0.9555579161665618,1,10,0,-0.49005651529234967,1,0.13848769696955168,0.0,-0.4186404560477494,1,0
1.3694112545450081,0,2,1,-1.4484027820383598,3,0.5493544415291753,0.0,-1.0162316188480411,0,0
1.0814316266108308,1,8,2,-0.32093658586658314,1,1.6261086686509474,0.0,0.0023445311190360895,1,0
-1.090897601125509,0,0,1,0.8065296103051937,2,-0.18737213492256358,0.0,0.7289937576438524,2,0
-0.8490441836780049,0,8,2,-1.5047760918469486,3,0.7052004480862739,0.0,0.375760925846216,0,0
-0.904743758605309,1,20,1,1.48300932800826,2,-1.1507838118209912,0.0,0.16642430220989196,2,0
-0.7835880220241257,1,19,1,-0.377309895675172,0,-0.37155377903549824,0.0,1.0356436225381433,1,0
-0.5098081212506917,1,33,2,-1.3356561624211822,3,-0.3290503227017441,0.0,-0.8115031146020238,0,1
